aalbesseblad	aalbessenblad
centraliseeren	centraliseren
centraliseert	~
certificeeren	certificeren
châle	~
châles	~
charivari's	~
charmanten	charmante*
charmantere	~
charmanteren	charmantere*
charmantst	~
charmantsten	charmantste*
chassinet	~
chassinetje	~
chassinetjes	~
chassinetten	~
chauffeurspet	~
chauffeurspetten	~
chemischen	chemische*
chenille	~
chenilles	~
Cherubijn	cherubijn
Cherubijntje	cherubijntje
Cherubijntjes	cherubijntjes
Cherubs	cherubs
chicaneeren	chicaneren
chicaneurs	~
chinaasappel	~
chinaasappelen	sinasappel
chinaasappels	sinasappels
Chineesch	Chinees
Chineezen	Chinezen
chirurgischen	chirurgische*
chloroformiseerde	~
chloroformiseeren	chloroformiseren
chocolaadje	chocolaatje
chocolaadjes	chocolaatjes
chocolaketel	~
chocolaketels	~
cholerabacil	~
cholerabarak	~
cholerabarakken	~
choleradrank	~
choleralijder	~
chrestomathieën	~
Christelijker	christelijker
Christelijkst	~
Christendom	christendom
Christenmensch	christenmens
Christenmenschen	christenmensen
Christinnen	christinnen
chronischen	chronische*
chrysolieten	~
cigarette	sigaret
cigaretten	sigaretten
cigarettenkoker	sigarettenkoker
cigarettenkokers	sigarettenkokers
cijfertelegram	~
cijfertelegrammen	~
cijnsbaar	~
cijnsbare	~
cinematografen	~
circuleer	~
circuleeren	circuleren
cirkelomtrekken	~
citaatjes	~
citeeren	citeren
citroenpersen	~
civielen	civiele*
civieler	~
civiel-ingenieur	~
civiel-ingenieurs	~
civielst	~
classicaal	~
classicale	~
classiek	klassiek
classieke	klassieke
cleresie	~
clericaal	~
clericalen	clericale*
clericalisme	~
cliché's	~
cliënteele	clientèle
cliniek	~
clinisch	~
closets	~
cognacgrog	~
cognacstelletje	~
cognacstelletjes	~
cokesbak	~
cokesbakken	~
collatiën	~
collation	~
collationneerde	~
collationneeren	collationneren
collations	~
collectante	~
collecte-bus	~
collecte-busje	~
collecte-busjes	~
collecte-bussen	~
collecteer	~
collecteeren	collecteren
collecte-zak	~
collecte-zakje	~
collecte-zakjes	~
collecte-zakken	~
collectiën	collecties
collegaen	~
collega's	~
cologne-fabriek	~
cologne-fabrieken	~
cologne-zeep	~
colonnen	~
combinatiën	combinaties
combineeren	combineren
comedie	komedie
comediën	komedies
comedies	komedies
comisch	komisch
comité's	~
commandantsvrouw	~
commandantsvrouwen	~
commandeeren	commanderen
commandement	~
commandementen	~
commandeuren	~
commandeurskruisen	~
commanditairen	commanditaire*
commando-brug	~
commando-bruggen	~
commando's	~
commersen	~
commersspel	~
commersspellen	~
commersspelletje	~
commersspelletjes	~
commerste	~
commisie	~
commissen	~
commissiën	commissies
commissionnair	~
commissionnairs	~
commis-voyageur	~
commis-voyageurs	~
communicatiën	~
communiceeren	communiceren
communiebanken	~
communiedag	~
communiedagen	~
communieerde	~
communieeren	communieren
communiekleed	~
commutator	~
commutatoren	commutatore*
commutators	~
comparativus	~
compensatiën	~
compenseer	~
compenseeren	compenseren
competenten	competente*
competentere	~
competenteren	competentere*
competentiën	~
competentst	~
completeer	~
completeeren	completeren
complimenteer	~
complimenteeren	complimenteren
componeeren	componeren
compote-lepel	~
compote-lepels	~
compresse	~
compromitteeren	compromitteren
comptant	~
conceptje	~
conceptjes	~
concept-reglement	~
concept-reglementen	~
concertvleugel	~
concertvleugels	~
concertzangeressen	~
conciërges	~
conclaves	~
conclusiën	conclusies
concordaten	~
concurreer	~
concurreeren	concurreren
condensatie-water	~
condenseeren	condenseren
conditioneele	conditionele
conditionneerde	~
conditionneeren	conditionneren
condoleantiebezoek	~
condoleantiebezoeken	~
condoleantiën	~
condoleantievisite	~
condoleantievisites	~
condoleeren	condoleren
conducteuren	~
conduite-lijst	~
conduite-lijsten	~
confectiemagazijn	~
confectiemagazijnen	~
confereeren	confereren
conferentiën	~
confessiën	~
confessioneele	confessionele
confidentieele	confidentiële
confidentiën	~
confirmeer	~
confirmeeren	confirmeren
confiscatiën	~
confisqueer	~
confisqueeren	confisqueren
confisqueert	~
confiturentaart	~
confiturentaarten	~
conformen	conforme*
confronteeren	confronteren
confuser	~
confusiën	~
confusies	~
confuust	~
congestiën	~
conjectuurtje	~
conjectuurtjes	~
conjugatiën	~
conjugeerde	~
conjugeeren	conjugeren
conjunctivus	~
conrectors	~
consciëntiën	~
consciënties	~
consciëntieust	~
consequenten	consequente*
consequenteren	consequentere*
consequentiën	~
consequentsten	consequentste*
conservatieveren	conservatievere*
conservatoire	~
conservatoires	~
consideratiën	consideraties
consignatiën	~
consignaties	~
consistoriën	~
consolideer	~
consolideeren	consolideren
consonantenstelsel	~
consonantenstelsels	~
constateeren	constateren
consternatiën	~
consternaties	~
constitutiën	~
constitutioneele	constitutionele
constructiën	~
constructiewinkel	~
constructiewinkels	~
construeeren	construeren
consulteeren	consulteren
consumeer	~
consumeeren	consumeren
contrabezoek	~
contrabezoeken	~
contracteer	~
contracteeren	contracteren
contractje	~
contractjes	~
contract-koelie	~
contract-koelies	~
contravisite	~
contravisites	~
contribueeren	contribueren
contributiekaart	~
contributiekaarten	~
contributiën	contributies
contrôle	controle
controleeren	controleren
contrôles	controles
contubernaal	~
contubernalen	contubernale*
conventiën	conventies
conventioneele	conventionele
conversatie-les	~
conversatie-lessen	~
converseeren	converseren
conversiën	conversies
conversie-ontwerp	~
conversie-ontwerpen	~
converteer	~
converteeren	converteren
convocatiebriefje	~
convocatiebriefjes	~
convocatiën	~
convoceer	~
convoceeren	convoceren
convoceert	~
coquetst	~
coquetteerde	~
coquetteeren	~
coquetter	~
coquetterieën	~
corporaal	~
corporatiën	~
corpulenten	~
corpulentere	~
corpulenteren	~
corpulentst	~
correcten	~
correcteren	~
correctiën	~
correctioneele	correctionele
correctst	~
correctsten	correctste
correspondeeren	corresponderen
correspondentiën	correspondenties
corrigeeren	corrigeren
coryphee	coryfee
corypheeën	coryfeeën
cosmetiek	~
cosmographie	cosmografie
cosmographieën	~
cosmopoliet	~
cosmopolieten	cosmopoliete*
cosmopolitisch	~
cosmopolitisme	~
cotta	~
coupletje	~
coupletjes	~
coupletzanger	~
coupletzangers	~
couponboekje	~
couponboekjes	~
couponknipper	~
couponknippers	~
courantenartikel	~
courantenartikels	~
courantenbericht	~
courantenberichten	~
courtages	~
couvertje	~
couvertjes	~
creatuurtje	~
creatuurtjes	~
crediteer	~
crediteeren	crediteren
crediteert	~
credo's	~
crimineele	criminele
critiek	kritiek
critisch	kritisch
critiseerde	kritiseerde
critiseeren	kritiseren
croquette	~
croquettes	~
c's	~
cultuurdwang	~
cultuurmaatschappij	~
cultuurmaatschappijen	~
cultuurstelsels	~
cultuurtuin	~
cultuurtuinen	~
curateele	curatele
curatorschappen	~
cureeren	cureren
curieust	~
cylinderbureau	~
cylinderbureau's	~
cylinderhorloge	~
cylinderhorloges	~
cylinders	~
cylindertje	~
cylindertjes	~
cylindrisch	~
cynischen	~
cypersch	cypers
cypersche	cyperse
cypresje	~
cypresjes	~
cypresseboom	~
cypresseboomen	cypressebomen
cypressenhout	~
daagsch	daags
daaldersplaats	~
daaldersplaatsen	~
daaldertjes	~
daarbenevens	~
dadelijken	dadelijke*
dadelijkheid	~
dadeltjes	~
daderessen	~
daemon	demon
daemonen	demonen
daemonisch	demonisch
dagdiefde	~
dagdieverijen	~
dagelijksch	dagelijks
dagelijksen	dagelijkse*
dagkaarten	~
daglooner	dagloner
daglooners	dagloners
dagteekende	dagtekende
dagteekenen	dagtekenen
dagteekening	dagtekening
dagteekeningen	dagtekeningen
dahlia's	~
dakdicht	~
daklooze	dakloze
damasceerde	~
damasceeren	damasceren
damen	~
damesfietsen	~
damlooper	damloper
damloopers	damlopers
damper	~
dampigen	dampige*
dampiger	~
dampigst	~
dampkringen	~
damspelers	~
danigen	danige*
dankfeesten	~
dansjes	~
dapperen	dappere*
darmontstekingen	~
darmpje	~
darmscheil	~
dartelst	~
dasjes	~
dassenhaar	~
dassenhol	~
dassenholen	~
dassennet	~
dassennetten	~
dassevel	dassenvel
dassevellen	dassenvellen
dateeren	dateren
dateering	datering
dateeringen	dateringen
dauwel	~
dauwelaar	~
dauwelaars	~
dauwelde	~
dauwelen	~
dauwels	~
dauweltje	~
dauweltjes	~
deballoteerde	~
deballoteeren	deballoteren
debatteeren	debatteren
debietzaak	~
debietzaken	~
debiteeren	debiteren
debuteer	~
debuteeren	debuteren
decagram	~
decagrammen	~
decaliters	~
decameter	~
decameters	~
decastere	~
decasteren	~
decasteres	~
December	december
decideerde	~
decideeren	decideren
decigram	~
decigrammen	~
deciliters	~
decisiefst	~
decisiën	~
decisiever	~
decistere	~
decisteren	~
decisteres	~
declaratiën	~
declareeren	declareren
declinatiën	~
declinatie-uitgang	~
declinatie-uitgangen	~
declineerde	~
declineeren	declineren
decoratiën	~
decoreer	~
decoreeren	decoreren
deegen	degen
deegje	~
deegjes	~
deelen	delen
deeler	deler
deelers	~
deelgenoote	deelgenote
deelgenooten	deelgenoten
deeling	deling
deelingen	delingen
deelinkje	~
deelinkjes	~
deelnemenden	deelnemende*
deelnemendst	~
deeltallen	~
deemoedigen	deemoedige*
deemoedigst	~
Deensch	Deens
deerlijken	deerlijke*
deerlijkst	~
deerniswaardigen	deerniswaardige*
deerniswaardiger	~
deerniswaardigst	~
deesem	desem
deesemde	~
deesemen	desemen
definitiën	~
deftigen	deftige*
deftigeren	deftigere*
deftigsten	deftigste*
degelijken	degelijke*
degelijkere	~
degelijkeren	degelijkere*
degelijksten	degelijkste*
degels	~
degenstooten	degenstoten
degentjes	~
degradeer	~
degradeeren	degraderen
dejeuneeren	dejeuneren
dejeuneetje	~
dejeuneetjes	~
dejeuners	~
dekbalk	~
dekbalken	~
dekbord	~
dekenen	~
dekgeld	~
dekhuis	~
dekhuizen	~
dekhutten	~
dekje	~
dekjes	~
dekker	dekker
dekkleeden	dekkleden
dekknecht	~
dekknechts	~
dekpan	~
dekpannen	~
dekplank	~
dekplanken	~
dekriet	~
dekselsch	deksels
dekselsen	dekselse*
dekservet	~
dekservetten	~
deksteenen	dekstenen
dekstroo	dekstro
dekstut	~
dekstutten	~
delegatiën	delegaties
delfstofkunde	~
deliberatiën	deliberaties
delicieust	~
delicieuzer	~
delirium-tremens	~
delta's	~
deluw	~
delving	~
delvingen	~
demissiën	~
demissies	~
democraatje	~
democraatjes	~
democratischen	democratische*
demonischen	demonische*
demonstratiën	demonstraties
demonstreeren	demonstreren
dempigen	dempige*
dempiger	~
dempigheid	~
dempigst	~
denkbeeldigen	denkbeeldige*
denkbeeldiger	~
denkbeeldigst	~
denkelijken	~
denneboom	dennenboom
denneboomen	dennenbomen
departementssecretaris	~
departementssecretarissen	~
deponeeren	deponeren
deposito-bank	~
deposito-banken	~
deposito-gelden	~
deposito's	~
depot's	~
deputatiën	~
derailleeren	derailleren
deraillementen	~
derdendaagsch	derdendaags
derivative	~
derrieachtig	~
dertienen	~
dertienmaal	~
dertientje	~
dertientjes	~
dertigen	~
dertigst	~
dertigvoud	~
derver	~
dervers	~
desbevoegd	~
descendentieleer	~
deserteer	~
deserteeren	deserteren
deserteuren	~
desertiën	deserties
desgevorderd	~
desinfecteer	~
desinfecteerde	~
desinfecteeren	desinfecteren
desolaatst	~
desolate-boedelkamer	~
desolate-boedelkamers	~
despootje	~
despootjes	~
despotischen	despotische*
dessendiaan	~
dessertje	~
dessertjes	~
dessertmes	~
dessertmesje	~
dessertmesjes	~
dessertmessen	~
dessertvork	~
dessertvorken	~
dessertvorkje	~
dessertvorkjes	~
deugdelijken	deugdelijke*
deugdelijkeren	deugdelijkere*
deugdelijkst	~
deugnietjes	~
deukjes	~
deums	~
deuner	~
deunheid	~
deunst	~
deurwachter	~
deuvekaters	~
deuviken	~
deuvikje	~
deuvikjes	~
deuvikte	~
Deventerkoek	~
Deventerkoeken	~
devootst	~
devotiedag	~
devotiedagen	~
dextrine	~
diaconessen	~
diaconessenhuizen	~
diaconiehuizen	~
diakones	~
diakonessen	~
dialectenstudie	~
dialectischen	dialectische*
diamantje	~
diamantjes	~
diamantletter	~
diamantletters	~
diamantmijn	~
diamantwerker	~
diameters	~
diapasons	~
diarrhee	~
dichterlijken	dichterlijke*
dichterlijkst	~
dichtertjes	~
dichtgemaakten	dichtgemaakte*
dichtsluiten	~
dichtsten	dichtste*
dictaatboekje	~
dictaatboekjes	~
dictatenstudie	~
dicteeren	dicteren
dictee's	~
diefachtigen	diefachtige*
diefachtiger	~
diefachtigst	~
diemit	~
diemiten	~
dienovereenkomstigen	dienovereenkomstige*
dienstdoenden	dienstdoende*
dienstigen	dienstige*
dienstigst	~
dienstje	~
dienstjes	~
dienstpet	~
dienstpetten	~
diensttijden	~
dienstvaardigen	dienstvaardige*
dienstvaardigst	~
dienstweigeringen	~
dienstwilligen	dienstwillige*
dienstwilliger	~
dienstwilligst	~
dientafeltjes	~
diepdenkenden	diepdenkende*
dieperen	diepere*
dieplooden	dieploden
diepsten	diepste*
diepzinnigen	diepzinnige*
diepzinnigere	~
diepzinnigeren	diepzinnigere*
diepzinnigst	~
diepzinnigsten	diepzinnigste*
dierenbeschermer	~
dierenbeschermers	~
dierenkweller	~
dierenkwellers	~
dierentent	~
dierententen	~
diergelijken	diergelijke*
dierlijken	dierlijke*
dierlijkst	~
dievenlantaarntje	~
dievenlantaarntjes	~
dievenlantarens	~
dievenlantarentje	~
dievenlantarentjes	~
differentiaalquotiënt	~
differentiaalquotiënten	~
differentialen	~
digestiekoorts	~
digestievisite	~
digestievisites	~
dijkages	~
dijkers	~
dijketting	~
dijkettingen	~
dijking	~
dijkingen	~
dijkje	~
dijkjes	~
dijksbesturen	~
dijksbestuur	~
dijkschouw	~
dijkslasten	~
dijkt	~
dikbloedig	~
dikbloediger	~
dikbloedigst	~
dikbuikigen	dikbuikige*
dikbuikiger	~
dikbuikigst	~
dikhuidigen	~
dikkerdje	~
dikkerdjes	~
dikkeren	dikkere*
dikkoppen	~
diksten	dikste*
diktetje	~
diktetjes	~
dilemma's	~
diligenten	~
diminutiefsuffixen	~
dineeren	dineren
dineetje	~
dineetjes	~
Dingsdag	dinsdag
Dingsdagen	dinsdagen
Dingsdags	~
Dingsdagsch	~
dingtalen	~
Dinsdag	dinsdag
Dinsdagen	dinsdagen
Dinsdags	dinsdags
Dinsdagsch	~
diorama's	~
diphthong	~
diphthongen	~
diploma's	~
diplomatieken	diplomatieke*
diplomatischen	diplomatische*
directen	directe*
directeurskamers	~
directeurswoningen	~
directieketen	~
directiën	directies
dirigeeren	dirigeren
dirkjespeer	~
dirkjesperen	~
dirkte	~
disch	dis
dischgenoot	disgenoot
dischgenooten	disgenoten
dischte	diste
disciplineer	~
disciplineeren	disciplineren
disconteer	~
disconteeren	disconteren
disconteert	~
discreetst	~
discussiën	discussies
discuteer	~
discuteeren	discuteren
dispache	~
dispaches	~
dispacheur	~
dispacheurs	~
disputeeren	disputeren
disschen	dissen
disseltje	~
disseltjes	~
dissertatiën	dissertaties
disteltje	~
distillateurs	~
distilleeren	distilleren
distilleerketels	~
districtscommissarissen	~
ditje	~
diverteerde	~
diverteeren	diverteren
dividendbewijs	~
dividendbewijzen	~
divisiën	divisies
dobbelaren	~
dobbelarij	~
dobbelarijen	~
dobbelsteenen	dobbelstenen
doceeren	doceren
dochterskinderen	~
dochtersman	~
doctoressen	~
dodderig	~
dodderiger	~
dodderigst	~
doellooze	doelloze
doelmatigen	doelmatige*
doelmatigeren	doelmatigere*
doelmatigsten	doelmatigste*
doeltreffenden	doeltreffende*
doeltreffendere	~
doeltreffenderen	doeltreffendere*
doeltreffendsten	doeltreffendste*
doelverdedigers	~
doemenswaardig	~
doemvonnissen	~
doemwaardigen	doemwaardige*
doemwaardiger	~
doemwaardigst	~
doenlijken	doenlijke*
doetjes	~
doezelaars	~
doffelde	~
doffertje	~
doffertjes	~
doffigen	doffige*
doffiger	~
doffigst	~
dofje	~
dofjes	~
dofst	~
doggerboot	~
doggerbooten	doggerboten
doggers	~
doggersbank	Doggersbank
dogje	~
dogjes	~
dogma's	~
dogmatischen	dogmatische*
dokmeester	~
doktersgang	~
doktersvisites	~
doldriftigen	doldriftige*
doldriftiger	~
doldriftigst	~
doleeren	doleren
dolf	dolf
dolhamer	~
dolhamers	~
dolhuizen	~
dolkje	~
dolkjes	~
dolkmessen	~
dolkoppen	~
dolkruid	~
dolle-hondsbeet	~
dolle-hondsbeten	~
dollemans	~
dollemanspraat	~
dollepraat	~
dolligheden	~
dolomiet	~
dolomieten	Dolomieten
dolsten	~
dolzinnigen	dolzinnige*
dolzinniger	~
dolzinnigheden	~
dolzinnigst	~
domiciliën	~
domineeren	domineren
domineesbriefje	~
domineesbriefjes	~
domineesen	~
domineesklontje	~
domineesklontjes	~
domino's	~
dominosteenen	dominostenen
domkapittels	~
domooren	domoren
dompeling	~
dompelingen	~
dompertjes	~
dompigen	dompige*
dompiger	~
dompigst	~
Donderdag	donderdag
Donderdags	donderdags
Donderdagsch	~
donderjaagde	~
dondersch	donders
dondersen	donderse*
dondersteenen	donderstenen
donkerblauwen	donkerblauwe*
donkerbruinen	donkerbruine*
donkergroenen	donkergroene*
donkerroode	donkerrode
donzigen	donzige*
donzigst	~
doodakte	~
doodakten	~
doodarmen	doodarme*
doodbedaarde	~
doodbedaarden	doodbedaarde*
doodbedden	~
doodbloed	~
doode	dode
doodeenvoudigen	doodeenvoudige*
doodekop	dodekop
doodelijk	dodelijk
doodelijker	dodelijker
doodelijkheid	dodelijkheid
doodelijkst	~
dooden	doden
doodendans	dodendans
doodendansen	dodendansen
doodenmarsch	dodenmars
dooder	~
dooders	doders
doodfamiliaar	~
doodfamiliare	~
doodgebloeden	doodgebloede*
doodgejaagd	~
doodgeloopen	doodgelopen
doodgezeild	~
doodgoeden	doodgoede*
doodjagen	~
doodloop	~
doodloopen	doodlopen
doodnuchteren	doodnuchtere*
doodsbenauwden	doodsbenauwde*
doodsbleeke	doodsbleke
doodsch	doods
doodscher	~
doodschheid	doodsheid
doodslager	~
doodslagers	~
doodsstond	~
doodsstuip	~
doodsstuipen	~
doodstroom	~
doodverfde	~
doodvreters	~
doodzeilen	~
doodzieken	doodzieke*
doodzwijg	~
doofpotje	~
doofpotjes	~
doofstommen-instituten	~
doofstommen-instituut	~
doopceelen	doopcelen
doopeling	dopeling
doopelinge	~
doopelingen	dopelingen
doopen	dopen
dooper	doper
doopers	dopers
doopformulieren	~
doophekken	~
doopjurken	~
dooraderden	~
dooraderen	~
doorarbeiden	~
doorbabbelen	~
doorbakte	~
doorbreien	~
doorbrekingen	~
doorbrengers	~
doorbuig	~
doordachten	doordachte*
doordraai	~
doordravers	~
doordrentelen	~
doordrijverijen	~
doordringbare	~
doordringenden	doordringende*
doordringendheid	~
doordringendsten	doordringendste*
doordrongenen	doordrongene*
doordruipen	~
dooreengegooiden	dooreengegooide*
dooreengehaspelde	~
dooreengehaspelden	dooreengehaspelde*
dooreengekookt	~
dooreengeloopen	dooreengelopen
dooreengemengden	dooreengemengde*
dooreengeslagen	~
dooreengeward	~
dooreenkoken	~
dooreenloopen	dooreenlopen
dooreenroeren	~
dooreenslaan	~
dooreenvlechten	~
dooreenwarren	~
doorgalmd	~
doorgalmde	~
doorgalmen	~
doorgearbeid	~
doorgebabbeld	~
doorgebakken	~
doorgebladerde	~
doorgebladerden	doorgebladerde*
doorgeboorden	doorgeboorde*
doorgebrachten	doorgebrachte*
doorgebrande	~
doorgebranden	doorgebrande*
doorgebreid	~
doorgedachten	doorgedachte*
doorgedraafde	~
doorgedraafden	doorgedraafde*
doorgedraaid	~
doorgedraaide	~
doorgedraaiden	doorgedraaide*
doorgedrenteld	~
doorgedronken	~
doorgedropen	~
doorgedrukten	doorgedrukte*
doorgegalmd	~
doorgeglipt	~
doorgegooid	~
doorgegoten	~
doorgegroeiden	doorgegroeide*
doorgehaalden	doorgehaalde*
doorgehakten	doorgehakte*
doorgehouwen	~
doorgeijld	~
doorgekermd	~
doorgekliefd	~
doorgeklopt	~
doorgeknaagde	~
doorgeknaagden	doorgeknaagde*
doorgeknabbeld	~
doorgeknipten	doorgeknipte*
doorgekookte	~
doorgekookten	doorgekookte*
doorgekrabd	~
doorgekregen	~
doorgekropen	~
doorgekruist	~
doorgelachen	~
doorgelaveerd	~
doorgeleefd	~
doorgeleid	~
doorgelekte	~
doorgelekten	~
doorgeloodst	~
doorgeloopen	doorgelopen
doorgemalen	~
doorgemarcheerd	~
doorgemengd	~
doorgemijmerd	~
doorgenaaid	~
doorgenommerd	~
doorgepend	~
doorgeperst	~
doorgepikt	~
doorgepriemd	~
doorgeprikte	~
doorgeprikten	doorgeprikte*
doorgepruimd	~
doorgeraasd	~
doorgeredeneerde	~
doorgeredeneerden	doorgeredeneerde*
doorgeregen	~
doorgeregenden	doorgeregende*
doorgereisde	~
doorgereisden	doorgereisde*
doorgeroeid	~
doorgeroesten	doorgeroeste*
doorgerold	~
doorgerookten	doorgerookte*
doorgeschemerd	~
doorgeschenen	~
doorgeschermd	~
doorgescheurde	~
doorgescheurden	~
doorgeschrapten	doorgeschrapte*
doorgeschreeuwd	~
doorgeschreid	~
doorgeschut	~
doorgesijpeld	~
doorgesijpelde	~
doorgesijpelden	doorgesijpelde*
doorgesleept	~
doorgeslikten	doorgeslikte*
doorgeslokt	~
doorgeslopen	~
doorgesluimerd	~
doorgesmeuld	~
doorgesneeuwd	~
doorgesnord	~
doorgespeelde	~
doorgespeelden	doorgespeelde*
doorgespit	~
doorgespoelde	~
doorgespoelden	doorgespoelde*
doorgespoten	~
doorgesprongen	~
doorgestampt	~
doorgestevend	~
doorgestoomde	~
doorgestoomden	doorgestoomde*
doorgestooten	doorgestoten
doorgestormd	~
doorgestraald	~
doorgestreden	~
doorgestreepten	doorgestreepte*
doorgestreken	~
doorgestrompeld	~
doorgestroomde	~
doorgestroomden	doorgestroomde*
doorgestuurden	doorgestuurde*
doorgetast	~
doorgeteekend	~
doorgeteld	~
doorgetrapte	~
doorgetrapten	~
doorgetreden	~
doorgevallen	~
doorgevaren	~
doorgevijld	~
doorgevloeid	~
doorgevlogen	~
doorgevoerden	doorgevoerde*
doorgevouwen	~
doorgevraagd	~
doorgevroren	~
doorgevrozen	~
doorgewaaid	~
doorgewassen	~
doorgewaterd	~
doorgeweekt	~
doorgeweend	~
doorgewerkten	doorgewerkte*
doorgewoed	~
doorgewroet	~
doorgezaagden	doorgezaagde*
doorgezaaid	~
doorgezakten	doorgezakte*
doorgezegen	~
doorgezeild	~
doorgezift	~
doorgezongen	~
doorgezonken	~
doorgezweefd	~
doorgezweet	~
doorgezwommen	~
doorgezworen	~
doorgezworven	~
doorgieten	~
doorgooien	~
doorgroei	~
doorhouwen	~
doorijlen	~
doorkermen	~
doorkloppen	~
doorknaagd	~
doorknabbelen	~
doorkoken	~
doorkrijg	~
doorkronkeld	~
doorkronkelde	~
doorkronkelen	~
doorlachen	~
doorlaveeren	doorlaveren
doorleer	~
doorleeren	doorleren
doorleiden	~
doorloodsen	~
doorloopen	doorlopen
doorloopend	doorlopend
doorlucht	~
doorluchter	~
doorluchtigen	doorluchtige*
doorluchtigst	~
doorluchtst	~
doormalen	~
doormarcheeren	doormarcheren
doormarsch	doormars
doormarschen	doormarsen
doormengden	doormengde*
doormijmerd	~
doormijmerde	~
doormijmeren	~
doornaaid	~
doornaaide	~
doornaaien	~
doornachtigen	doornachtige*
doornachtiger	~
doornachtigst	~
doornagelden	~
doornagelen	~
doornigen	doornige*
doorniger	~
doornigst	~
doornommeren	doornummeren
doorns	doorns
doorpennen	~
doorpersen	~
doorpikken	~
doorpriemd	~
doorpriemde	~
doorpriemen	~
doorpruimen	~
doorrazen	~
doorredeneer	~
doorredeneeren	doorredeneren
doorreeg	~
doorrijd	~
doorrijgen	~
doorroeien	~
doorroer	~
doorroert	~
doorroesten	~
doorrollen	~
doorrook	~
doorrooken	doorroken
doorrooker	doorroker
doorrookers	doorrokers
doorrookertje	doorrokertje
doorrookertjes	doorrokertjes
doorschermen	~
doorscheur	~
doorscheurden	~
doorschijnenden	doorschijnende*
doorschijnendheid	~
doorschotene	~
doorschotenen	~
doorschrapping	~
doorschrappingen	~
doorschreeuwen	~
doorschreien	~
doorschutten	~
doorsijpel	~
doorslaanden	doorslaande*
doorslaander	~
doorslaandst	~
doorslagje	~
doorslagjes	~
doorsleepen	doorslepen
doorslepener	~
doorslepenheid	~
doorslepenst	~
doorslokken	~
doorsluimeren	~
doorsluipen	~
doorsmeulen	~
doorsnedenen	~
doorsneeuwen	~
doorsnorren	~
doorsnuffelaar	~
doorsnuffelaars	~
doorspekten	~
doorspijkerd	~
doorspijkerde	~
doorspijkeren	~
doorspoel	~
doorspoeling	~
doorspoelingen	~
doorspringen	~
doorspuiten	~
doorstampen	~
doorsteker	~
doorstekertje	~
doorstekertjes	~
doorstevenen	~
doorstikken	~
doorstikt	~
doorstokene	~
doorstokenen	doorstokene*
doorstoom	~
doorstoomen	doorstomen
doorstooten	doorstoten
doorstormen	~
doorstraald	~
doorstraling	~
doorstrijden	~
doorstrijken	~
doorstrompelen	~
doorstroomen	doorstromen
doorstudeeren	doorstuderen
doorsukkel	~
doortast	~
doortastte	~
doorteekenen	doortekenen
doortellen	~
doortimmerden	~
doortintelden	~
doortraptere	~
doortrapteren	~
doortraptst	~
doortreden	~
doortrild	~
doortrillen	~
doorvaarten	~
doorvallen	~
doorvijlen	~
doorvloeien	~
doorvlogen	~
doorvloog	~
doorvoedde	~
doorvoeden	~
doorvouwen	~
doorvriezen	~
doorwaaid	~
doorwaaide	~
doorwasemden	~
doorwasemen	~
doorwaterd	~
doorwaterde	~
doorwateren	~
doorweek	~
doorweeken	doorweken
doorweeking	~
doorweenen	~
doorwerk	~
doorwevenen	~
doorwoeden	~
doorwoei	~
doorwoel	~
doorwonden	~
doorworstel	~
doorworsteling	~
doorwrochten	~
doorwrochter	~
doorwrochtst	~
doorwroet	~
doorwroeten	~
doorwroeting	~
doorwroette	~
doorzaaid	~
doorzaaide	~
doorzaaien	~
doorzaging	~
doorzakkingen	~
doorzeilen	~
doorzichtbaar	~
doorzichtbaarheid	~
doorzichtbare	~
doorzichtigen	~
doorzichtigere	~
doorzichtigeren	~
doorzichtigsten	~
doorzienen	~
doorziften	~
doorzingen	~
doorzinken	~
doorzoekingen	~
doorzouten	~
doorzoutte	~
doorzweefd	~
doorzweefde	~
doorzweeten	~
doorzwelger	~
doorzwelgers	~
doorzwelging	~
doorzwemmen	~
doorzweren	~
doorzwerven	~
doorzweven	~
doov	~
doovekolen	~
doovekool	~
dooven	doven
doovenetel	~
doovenetels	~
doover	~
doovigheid	~
doovt	~
doozen	dozen
doozenfabriek	~
doozenfabrieken	~
doozenmaakster	~
doozenmaaksters	~
dopjesspellen	~
dopknier	~
dopknieren	~
dormter	~
dorpachtig	~
dorpachtige	~
dorpachtigen	~
dorpeltjes	~
dorpsbesturen	~
dorpsch	dorps
dorpskerkje	~
dorpskerkjes	~
dorpsleeraar	dorpsleraar
dorpsleeraars	~
dorpsleeraren	~
dorsch	dors
dorschdeel	dorsdeel
dorschdelen	~
dorschen	dorsen
dorscher	dorser
dorschers	dorsers
dorsching	~
dorschingen	~
dorschschuren	~
dorschschuur	dorsschuur
dorschte	dorste
dorschtijd	~
dorschvlegel	dorsvlegel
dorschvlegels	dorsvlegels
dorschvloer	dorsvloer
dorschvloeren	dorsvloeren
dorstigen	dorstige*
dorstigheid	~
dorstigst	~
dotjes	~
douanekantoren	~
douarieën	~
doubleeren	doubleren
doubletje	~
doubletjes	~
douwtje	~
douwtjes	~
dozijntjes	~
draadlooze	~
draadschaar	~
draadscharen	~
draadsgewijs	~
draadsgewijze	~
draadtrekker	~
draadtrekkers	~
draagboom	~
draagboomen	~
draagboompje	~
draagboompjes	~
draaggeld	~
